,Year,total_emissions
0,1850,1589699077.56698
1,1851,1598401690.0
2,1852,1671025799.8
3,1853,1748427820.0
4,1854,2056987938.0
5,1855,2095633511.265
6,1856,2234475772.0
7,1857,2257240124.0
8,1858,2294823677.302
9,1859,2422196952.5
10,1860,2660596068.16
11,1861,2811787446.9
12,1862,2869159096.3
13,1863,3049914095.2
14,1864,3287656204.34
15,1865,3501376732.65
16,1866,3613142807.0
17,1867,3853259210.188
18,1868,3947731163.6
19,1869,4176287086.26
20,1870,4258076686.1809998
21,1871,4530616590.059999
22,1872,4989221503.809999
23,1873,5291762502.18
24,1874,4930568765.512
25,1875,5383579069.559999
26,1876,5478599592.5
27,1877,5551274904.6
28,1878,5603930311.51
29,1879,5958797271.58
30,1880,6742094282.5
31,1881,6950203986.49
32,1882,7312172758.4
33,1883,7768962274.5
34,1884,7831725966.5002
35,1885,7886643168.7902
36,1886,7982723546.0105
37,1887,8365688299.01
38,1888,9181620773.01
39,1889,9275511430.0
40,1890,10020591571.0
41,1891,10467470156.22
42,1892,10500267388.8
43,1893,10363922469.06
44,1894,10820012691.97
45,1895,11393461753.0
46,1896,11805450994.976
47,1897,12375385984.47
48,1898,13003190859.446
49,1899,14121633987.204
50,1900,14890571943.84
51,1901,15262879895.03
52,1902,15559650900.08
53,1903,16827716920.029999
54,1904,17052633933.0
55,1905,18054150872.48
56,1906,18805601739.98
57,1907,21347756608.0
58,1908,20764425672.3
59,1909,21445409752.84
60,1910,22371131886.0
61,1911,22753360902.04
62,1912,23892943443.0
63,1913,25888994844.97
64,1914,23371589282.2
65,1915,22845832248.88
66,1916,24560374469.13
67,1917,25451069218.86
68,1918,24842386159.510002
69,1919,21446311525.3
70,1920,24997185955.41
71,1921,22204509073.06
72,1922,23412454828.6
73,1923,25828156046.98
74,1924,26470584449.86
75,1925,26682858893.1
76,1926,25817845980.64
77,1927,28678004436.064
78,1928,28618698995.54
79,1929,30777362911.208
80,1930,28461179967.06
81,1931,25582543430.71
82,1932,23159148388.1
83,1933,24302728120.03
84,1934,26456599794.2
85,1935,27772206153.92
86,1936,30288978408.79
87,1937,32508577771.0
88,1938,30937644632.758
89,1939,32556563198.601997
90,1940,35379096230.8
91,1941,35848778403.0
92,1942,35464648979.63
93,1943,36003689173.898
94,1944,36050167341.9
95,1945,28850220693.7
96,1946,32399325663.47
97,1947,36113549856.8
98,1948,38202141754.0
99,1949,37700424284.39
100,1950,42085742286.17
101,1951,44864252793.72
102,1952,45607574797.6
103,1953,46890167770.7
104,1954,48224797086.89
105,1955,52761931218.61
106,1956,56210278905.09
107,1957,58091126923.66
108,1958,59640173871.2
109,1959,62485116454.92
110,1960,66320297851.13
111,1961,66873424437.21
112,1962,69504894639.3
113,1963,73354791228.02
114,1964,77307798888.05
115,1965,80615782003.1
116,1966,84335613059.28
117,1967,86943039582.0
118,1968,91689538791.12
119,1969,97729696176.0
120,1970,105386885988.52
121,1971,109648917163.56
122,1972,114579784779.69
123,1973,120570367701.05
124,1974,120376385156.0
125,1975,120782540067.54001
126,1976,127674424826.51999
127,1977,130903964856.98
128,1978,134978134333.23999
129,1979,138863431251.99
130,1980,138218179606.0
131,1981,134751879800.48001
132,1982,133802513595.9
133,1983,134589479947.76001
134,1984,138809776761.7
135,1985,143563588560.98
136,1986,145345006469.9
137,1987,148866946849.47
138,1988,154116933366.76
139,1989,155982697469.944
140,1990,158689885246.1
141,1991,161626604800.78
142,1992,155875583540.0
143,1993,156740629083.39
144,1994,156979846769.86
145,1995,159806311375.22
146,1996,164143434274.08002
147,1997,164504841178.82
148,1998,163628625832.03
149,1999,166638394583.58002
150,2000,171274555410.97
151,2001,172976812401.93
152,2002,176656278449.5
153,2003,185393207568.89
154,2004,191312999750.96
155,2005,197143981409.44
156,2006,203185307416.58002
157,2007,208470648124.45
158,2008,211794641919.82
159,2009,207477585218.95
160,2010,218964101177.44
161,2011,225571951055.41998
162,2012,228868010295.03
163,2013,230282627395.38
164,2014,231351669069.89
165,2015,231322078594.94
166,2016,231125675244.4
167,2017,234640977755.28
168,2018,238844138610.48
169,2019,240014940851.95
170,2020,228843032497.37
171,2021,240689454020.16998
