,Year,total_emissions
0,1850,6485469861.88963
1,1851,6509928687.31561
2,1852,6548415235.01272
3,1853,6592419288.54869
4,1854,6671410818.86427
5,1855,6707593067.59365
6,1856,6760006704.3639
7,1857,6793273478.59242
8,1858,6824917047.08516
9,1859,6879845806.645801
10,1860,6947331876.74269
11,1861,6997438796.6506405
12,1862,7033343349.60111
13,1863,7098750514.54439
14,1864,7162850439.5535
15,1865,7222353601.78736
16,1866,7283270375.3370905
17,1867,7328784405.24316
18,1868,7365758763.29319
19,1869,7425032923.68518
20,1870,7460212493.77662
21,1871,7536767850.97629
22,1872,7646702294.75506
23,1873,7734147582.82767
24,1874,7751922184.38062
25,1875,7848059597.77444
26,1876,7907363449.7452
27,1877,7968338084.96865
28,1878,8022365466.20006
29,1879,8107363949.09776
30,1880,8236686571.28803
31,1881,8334068183.89133
32,1882,8430542952.85965
33,1883,8539549515.04223
34,1884,8596343286.77397
35,1885,8654236460.29639
36,1886,8719332855.34189
37,1887,8820398323.12713
38,1888,8957834283.79346
39,1889,9028631959.65274
40,1890,9172498280.02467
41,1891,9277171199.54333
42,1892,9340383771.514389
43,1893,9368178333.04943
44,1894,9491063596.20624
45,1895,9615172200.97591
46,1896,9711525232.57098
47,1897,9834250494.09319
48,1898,9958380265.44952
49,1899,10138329309.49779
50,1900,10289285434.4039
51,1901,10395095318.2173
52,1902,10487835667.39435
53,1903,10681422660.80118
54,1904,10768339765.67607
55,1905,10908508482.14347
56,1906,11088489236.07988
57,1907,11382253531.44937
58,1908,11386810944.65634
59,1909,11546155661.00546
60,1910,11695539727.03861
61,1911,11813838550.786499
62,1912,11940472536.41557
63,1913,12179813108.91312
64,1914,11983080249.8256
65,1915,12004079563.20019
66,1916,12227550806.8417
67,1917,12377398076.831789
68,1918,12277159463.44744
69,1919,12073875965.297
70,1920,12440813840.24476
71,1921,12155845695.11481
72,1922,12450371271.1556
73,1923,12850474318.94929
74,1924,13030531909.0949
75,1925,13129723730.29399
76,1926,13095991627.50236
77,1927,13558095817.63743
78,1928,13625434588.309181
79,1929,13948559825.44805
80,1930,13943890293.9224
81,1931,13836438390.85205
82,1932,13755129424.09993
83,1933,13975528356.83605
84,1934,14327793791.43388
85,1935,14585222217.82785
86,1936,15002965251.35901
87,1937,15349539576.1391
88,1938,15370595187.09804
89,1939,15694237136.37785
90,1940,16027669995.53997
91,1941,16245628702.293541
92,1942,16414058227.75055
93,1943,16748994343.0364
94,1944,16932955206.6086
95,1945,16665007522.98504
96,1946,17217597207.5552
97,1947,17890510492.19207
98,1948,18212530581.38155
99,1949,18508971705.92144
100,1950,18966532864.94964
101,1951,19639063454.6664
102,1952,20089869019.7109
103,1953,20611534066.7849
104,1954,21190205278.997
105,1955,22182299135.0681
106,1956,22948470247.4195
107,1957,23677307633.0526
108,1958,24281702315.163498
109,1959,25217356596.225502
110,1960,25987829971.58825
111,1961,26337379742.0494
112,1962,26898717978.435898
113,1963,27599227873.3427
114,1964,28197862369.906
115,1965,28969910258.2038
116,1966,30028014291.1182
117,1967,30454938087.9174
118,1968,31081623786.8201
119,1969,31903843107.4967
120,1970,32558827739.1623
121,1971,32662655576.174698
122,1972,33281432836.2636
123,1973,34116798492.1458
124,1974,34284319156.5741
125,1975,34819784396.298996
126,1976,35209217694.7022
127,1977,35652001910.8038
128,1978,35884976823.138
129,1979,36772757868.1639
130,1980,36630246576.0218
131,1981,35835848369.7539
132,1982,36287537286.4843
133,1983,36314941249.7254
134,1984,36736362739.6879
135,1985,37323593410.7929
136,1986,37776783629.9172
137,1987,38139246679.2771
138,1988,38730033078.2194
139,1989,39518742854.6784
140,1990,40015339648.4718
141,1991,39749964940.2334
142,1992,39644605720.2048
143,1993,39655817680.2084
144,1994,39870937436.6284
145,1995,40328161075.543396
146,1996,40667913295.4984
147,1997,40681847877.2986
148,1998,40340187585.8414
149,1999,40530811540.871796
150,2000,41235425607.3052
151,2001,41249361579.3606
152,2002,41220060054.8819
153,2003,42228854141.6686
154,2004,43014376991.8657
155,2005,43681762342.9026
156,2006,44455100742.3284
157,2007,44788526845.3222
158,2008,45281002191.7395
159,2009,44996619422.3099
160,2010,45756803100.3259
161,2011,46815325683.899704
162,2012,47394681247.0615
163,2013,47361422790.3356
164,2014,47779450491.9138
165,2015,47989195805.3329
166,2016,48181344551.895096
167,2017,48933880890.1475
168,2018,49360957294.5235
169,2019,49762814284.9973
170,2020,49928812036.6212
171,2021,50592672990.075
