,Year,total_emissions
0,1850,774789594.918236
1,1851,788651556.6453221
2,1852,802210762.2397999
3,1853,815279944.6665246
4,1854,827671731.8729861
5,1855,839198858.9922875
6,1856,849674013.4266616
7,1857,858909810.4152148
8,1858,866718995.1083785
9,1859,872914254.6365273
10,1860,877308228.1753207
11,1861,880570089.2461354
12,1862,883543292.7100022
13,1863,886302031.5783406
14,1864,888920575.8475292
15,1865,891473283.1623509
16,1866,894034245.5172404
17,1867,896677813.6790351
18,1868,899478160.5795813
19,1869,902509630.0939132
20,1870,905846385.5129794
21,1871,918875510.5820391
22,1872,948388913.9413973
23,1873,990568597.8879243
24,1874,1041596294.1651795
25,1875,1097654018.9027753
26,1876,1154923496.6604679
27,1877,1209586648.6704607
28,1878,1257825294.5509334
29,1879,1295821382.5150166
30,1880,1319756729.6796482
31,1881,1334248896.6693673
32,1882,1346730410.9416232
33,1883,1357605612.1021905
34,1884,1367278653.1129262
35,1885,1376153930.1232512
36,1886,1384635735.6919618
37,1887,1393128238.2011497
38,1888,1402035885.6972811
39,1889,1411762811.6248026
40,1890,1462104788.359878
41,1891,1481756092.7109623
42,1892,1501943328.6889944
43,1893,1522409976.6740067
44,1894,1542899703.8001308
45,1895,1563156068.079986
46,1896,1582922590.2800314
47,1897,1601942888.4237902
48,1898,1619960735.779975
49,1899,1636719553.4316711
50,1900,1651963082.2160497
51,1901,1667457412.8524272
52,1902,1684874995.0487885
53,1903,1703818433.1943963
54,1904,1723890330.3831427
55,1905,1744693278.4333253
56,1906,1765830010.2748053
57,1907,1786902949.2653027
58,1908,1807514872.0456436
59,1909,1827268408.9788253
60,1910,1845765995.8211894
61,1911,1867482575.3729832
62,1912,1896163267.0785224
63,1913,1930317823.838951
64,1914,1968450537.088921
65,1915,2009074897.0181978
66,1916,2050697331.8128603
67,1917,2091826618.3954978
68,1918,2130971121.9553354
69,1919,2166640672.739168
70,1920,2197341624.1776905
71,1921,2226714090.5676675
72,1922,2258724464.614675
73,1923,2292369247.488349
74,1924,2326646271.698882
75,1925,2360553501.214366
76,1926,2393087951.2808304
77,1927,2423248068.705674
78,1928,2450030644.185395
79,1929,2472433737.777926
80,1930,2489453768.9582634
81,1931,2503200958.4958253
82,1932,2516765516.9804015
83,1933,2530615815.957954
84,1934,2545220664.7883906
85,1935,2561047924.4811554
86,1936,2578565774.07982
87,1937,2598243423.161414
88,1938,2620548256.4461865
89,1939,2645949368.393742
90,1940,2674915456.146426
91,1941,2771888844.7007666
92,1942,2982942923.030946
93,1943,3280965010.435238
94,1944,3638847479.279224
95,1945,4029483754.803967
96,1946,4425763321.055556
97,1947,4800577455.866486
98,1948,5126817752.318462
99,1949,5377377110.545797
100,1950,5525145043.213169
101,1951,5616089751.880718
102,1952,5714461194.036422
103,1953,5820575215.2137375
104,1954,5934750928.324887
105,1955,6057304341.027122
106,1956,6188552864.496866
107,1957,6328814510.761659
108,1958,6478405331.921486
109,1959,6637642580.801145
110,1960,6861736208.598223
111,1961,7224358744.183239
112,1962,7481111585.201019
113,1963,7725934836.098929
114,1964,7995797379.722105
115,1965,8309709807.920348
116,1966,8658037035.05027
117,1967,8976811717.03138
118,1968,9263843406.463785
119,1969,9457064530.292871
120,1970,9483878585.837967
121,1971,9453747857.166937
122,1972,9773841994.447273
123,1973,10092840739.185364
124,1974,10220738317.707365
125,1975,10462292398.160133
126,1976,10714060904.38786
127,1977,10937056143.093245
128,1978,11119825283.02963
129,1979,11463658023.32265
130,1980,11498902093.475689
131,1981,11252088281.79747
132,1982,11340786614.239576
133,1983,11421298033.242384
134,1984,11545794538.826761
135,1985,11598473150.69529
136,1986,11573069183.447603
137,1987,11718295074.33648
138,1988,11646404092.0245
139,1989,11770543477.58565
140,1990,11736369586.35974
141,1991,11642785865.237045
142,1992,11592501105.573936
143,1993,11506277559.074356
144,1994,11652971206.136843
145,1995,11942145418.620195
146,1996,12125602170.73552
147,1997,12046484476.98205
148,1998,11929133484.87091
149,1999,11949054962.660141
150,2000,12034634082.15836
151,2001,12058624388.96736
152,2002,12199033254.44988
153,2003,12221145123.22937
154,2004,12589661001.57805
155,2005,12664225241.96754
156,2006,12793115521.30521
157,2007,13141511899.29086
158,2008,12961421648.95468
159,2009,12839556589.29468
160,2010,13053568493.69188
161,2011,13554679097.80592
162,2012,13722295845.42589
163,2013,13670030591.35856
164,2014,13810958934.81706
165,2015,13857482959.94831
166,2016,13969401578.63089
167,2017,14227500820.37865
168,2018,14196788150.33362
169,2019,14255990222.87984
170,2020,14388549404.98744
171,2021,14644936165.82174
