Time,Anomaly (deg C)
1958-03,0.0052554575
1958-04,-0.06950849
1958-05,0.016476592
1958-06,-0.15305896
1958-07,-0.020030653
1958-08,-0.083085604
1958-09,-0.11479923
1958-10,-0.019471264
1958-11,-0.038575903
1958-12,-0.08232217
1959-01,0.013691866
1959-02,-0.005084035
1959-03,0.016677765
1959-04,0.026267799
1959-05,-0.03853143
1959-06,-0.0018165166
1959-07,-0.043648165
1959-08,-0.041345503
1959-09,-0.14124896
1959-10,-0.071337834
1959-11,-0.18634169
1959-12,-0.10334121
1960-01,-0.11465857
1960-02,0.02281142
1960-03,-0.44688365
1960-04,-0.26193932
1960-05,-0.17928644
1960-06,-0.1261228
1960-07,-0.11407162
1960-08,-0.006310927
1960-09,0.0032144422
1960-10,-0.031158555
1960-11,-0.21504581
1960-12,0.0836075
1961-01,-0.052229382
1961-02,0.09082804
1961-03,-0.0616479
1961-04,0.06100269
1961-05,0.067880936
1961-06,0.08760505
1961-07,-0.03974989
1961-08,-0.016852155
1961-09,-0.030176053
1961-10,-0.06376159
1961-11,-0.031068904
1961-12,-0.25179952
1962-01,-0.05704969
1962-02,0.012157755
1962-03,0.018748457
1962-04,-0.026072158
1962-05,-0.18164511
1962-06,-0.056267038
1962-07,-0.10915736
1962-08,-0.10973202
1962-09,-0.07493823
1962-10,-0.038202044
1962-11,-0.020875225
1962-12,-0.12562062
1963-01,-0.121948205
1963-02,0.040044732
1963-03,-0.3409997
1963-04,-0.17912978
1963-05,-0.1466549
1963-06,-0.06680599
1963-07,0.05953688
1963-08,0.14581573
1963-09,0.12205969
1963-10,0.06423311
1963-11,0.04470364
1963-12,-0.062525906
1964-01,-0.19452871
1964-02,-0.22300385
1964-03,-0.38280848
1964-04,-0.44159797
1964-05,-0.37424895
1964-06,-0.16659828
1964-07,-0.20062846
1964-08,-0.30053315
1964-09,-0.4045793
1964-10,-0.3114203
1964-11,-0.2988282
1964-12,-0.3716253
1965-01,-0.16228765
1965-02,-0.26308617
1965-03,-0.2597472
1965-04,-0.29863888
1965-05,-0.19161598
1965-06,-0.20754607
1965-07,-0.26655743
1965-08,-0.1619956
1965-09,-0.24531643
1965-10,-0.10577728
1965-11,-0.1437657
1965-12,-0.14632036
1966-01,-0.28320545
1966-02,-0.16757779
1966-03,-0.1708448
1966-04,-0.17045191
1966-05,-0.21843779
1966-06,-0.10499999
1966-07,0.0030392085
1966-08,-0.10166964
1966-09,-0.08658218
1966-10,-0.23768093
1966-11,-0.10768294
1966-12,-0.14052084
1967-01,-0.21960148
1967-02,-0.32817873
1967-03,-0.09374347
1967-04,-0.13242696
1967-05,0.057162356
1967-06,-0.108169004
1967-07,-0.067892365
1967-08,-0.099165745
1967-09,-0.12451488
1967-10,-0.020286117
1967-11,-0.119650505
1967-12,-0.1537288
1968-01,-0.32466504
1968-02,-0.26771057
1968-03,-0.003727732
1968-04,-0.18043014
1968-05,-0.22587559
